,Rank,Name,Platform,Year,Genre,Publisher,Overview
144,145,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2008 Action by Konami Digital Entertainment rank 145
145,146,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,1998 Action by Konami Digital Entertainment rank 146
146,147,The Last of Us,PS3,2013,Action,Sony Computer Entertainment Europe,2013 Action by Sony Computer Entertainment Europe rank 147
147,148,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,2006 Role-Playing by Square Enix rank 148
148,149,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2008 Platform by Sony Computer Entertainment rank 149
149,150,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,2009 Role-Playing by Nintendo rank 150
150,151,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,2007 Action by LucasArts rank 151
151,152,Resident Evil 2,PS,1998,Action,Virgin Interactive,1998 Action by Virgin Interactive rank 152
152,153,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,1996 Fighting by Sony Computer Entertainment rank 153
153,154,Cooking Mama,DS,2006,Simulation,505 Games,2006 Simulation by 505 Games rank 154
154,155,Destiny,PS4,2014,Shooter,Activision,2014 Shooter by Activision rank 155
155,156,Tetris,NES,1988,Puzzle,Nintendo,1988 Puzzle by Nintendo rank 156
156,157,Assassin's Creed II,PS3,2009,Action,Ubisoft,2009 Action by Ubisoft rank 157
157,158,Super Smash Bros.,N64,1999,Fighting,Nintendo,1999 Fighting by Nintendo rank 158
158,159,Assassin's Creed,X360,2007,Adventure,Ubisoft,2007 Adventure by Ubisoft rank 159
159,160,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2011 Action by Warner Bros. Interactive Entertainment rank 160
160,161,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2009 Racing by Microsoft Game Studios rank 161
161,162,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,2008 Role-Playing by Capcom rank 162
162,163,Super Mario Advance,GBA,2001,Platform,Nintendo,2001 Platform by Nintendo rank 163
163,164,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2001 Racing by Nintendo rank 164
164,165,Super Mario World,GBA,2001,Platform,Nintendo,2001 Platform by Nintendo rank 165
165,166,Pokemon Stadium,N64,1999,Strategy,Nintendo,1999 Strategy by Nintendo rank 166
166,167,Call of Duty: World at War,PS3,2008,Shooter,Activision,2008 Shooter by Activision rank 167
167,168,Crash Bandicoot: The Wrath of Cortex,PS2,2001,Platform,Universal Interactive,2001 Platform by Universal Interactive rank 168
168,169,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,2014 Misc by Sony Computer Entertainment rank 169
169,170,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,2009 Role-Playing by Square Enix rank 170
170,171,Dr. Mario,GB,1989,Puzzle,Nintendo,1989 Puzzle by Nintendo rank 171
171,172,Pokemon Pinball,GB,1999,Misc,Nintendo,1999 Misc by Nintendo rank 172
172,173,Assassin's Creed III,X360,2012,Action,Ubisoft,2012 Action by Ubisoft rank 173
173,174,Final Fantasy IX,PS,2000,Role-Playing,SquareSoft,2000 Role-Playing by SquareSoft rank 174
174,175,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,2003 Role-Playing by Electronic Arts rank 175
175,176,Donkey Kong 64,N64,1999,Platform,Nintendo,1999 Platform by Nintendo rank 176
176,177,Assassin's Creed II,X360,2009,Action,Ubisoft,2009 Action by Ubisoft rank 177
177,178,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,2007 Puzzle by Nintendo rank 178
178,179,Tomb Raider II,PS,1997,Action,Eidos Interactive,1997 Action by Eidos Interactive rank 179
179,181,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,2004 Role-Playing by Square Enix rank 181
180,182,Diablo III,PC,2012,Role-Playing,Activision,2012 Role-Playing by Activision rank 182
181,183,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2003 Platform by Nintendo rank 183
182,184,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2012 Platform by Nintendo rank 184
183,185,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,1994 Platform by Nintendo rank 185
184,186,FIFA Soccer 13,X360,2012,Action,Electronic Arts,2012 Action by Electronic Arts rank 186
185,187,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,2007 Action by Nintendo rank 187
186,188,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,1995 Platform by Nintendo rank 188
187,189,Tomodachi Life,3DS,2013,Simulation,Nintendo,2013 Simulation by Nintendo rank 189
188,190,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,2008 Sports by Sega rank 190
189,191,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,2003 Shooter by Electronic Arts rank 191
190,192,Kirby's Dream Land,GB,1992,Platform,Nintendo,1992 Platform by Nintendo rank 192
191,193,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,2010 Role-Playing by Microsoft Game Studios rank 193
192,194,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,2014 Shooter by Activision rank 194
193,195,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,1996 Simulation by Microsoft Game Studios rank 195
194,196,Guitar Hero II,PS2,2006,Misc,RedOctane,2006 Misc by RedOctane rank 196
195,197,Resident Evil 5,PS3,2009,Action,Capcom,2009 Action by Capcom rank 197
196,198,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2014 Action by Take-Two Interactive rank 198
197,199,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,2006 Action by Take-Two Interactive rank 199
198,200,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,2010 Sports by Electronic Arts rank 200
199,201,Super Mario Bros.,GB,1999,Platform,Nintendo,1999 Platform by Nintendo rank 201
200,202,Resident Evil,PS,1996,Action,Virgin Interactive,1996 Action by Virgin Interactive rank 202
201,203,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,1999 Sports by Activision rank 203
202,204,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2014 Fighting by Nintendo rank 204
203,205,Warzone 2100,PS,1999,Strategy,Eidos Interactive,1999 Strategy by Eidos Interactive rank 205
204,206,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,1998 Platform by Sony Computer Entertainment rank 206
205,207,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,2007 Shooter by Nintendo rank 207
206,208,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,2007 Misc by Activision rank 208
207,209,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,2008 Role-Playing by Bethesda Softworks rank 209
208,210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,2007 Role-Playing by Nintendo rank 210
209,211,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2007 Action by Sony Computer Entertainment rank 211
210,212,Madden NFL 06,PS2,2005,Sports,Electronic Arts,2005 Sports by Electronic Arts rank 212
211,213,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2007 Action by LucasArts rank 213
212,214,Diddy Kong Racing,N64,1997,Racing,Nintendo,1997 Racing by Nintendo rank 214
213,215,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,2010 Role-Playing by Capcom rank 215
214,216,Dr. Mario,NES,1990,Puzzle,Nintendo,1990 Puzzle by Nintendo rank 216
215,217,God of War III,PS3,2010,Action,Sony Computer Entertainment,2010 Action by Sony Computer Entertainment rank 217
216,218,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2010 Strategy by Activision rank 218
217,219,Assassin's Creed,PS3,2007,Adventure,Ubisoft,2007 Adventure by Ubisoft rank 219
218,220,FIFA 15,PS3,2014,Sports,Electronic Arts,2014 Sports by Electronic Arts rank 220
219,221,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,1999 Racing by Sony Computer Entertainment rank 221
220,222,FIFA 17,PS4,2016,Sports,Electronic Arts,2016 Sports by Electronic Arts rank 222
221,223,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2011 Action by Warner Bros. Interactive Entertainment rank 223
222,224,Driver 2,PS,2000,Action,Atari,2000 Action by Atari rank 224
223,225,The Simpsons: Hit & Run,PS2,2003,Racing,Vivendi Games,2003 Racing by Vivendi Games rank 225
224,226,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,2000 Sports by Activision rank 226
225,227,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,2008 Simulation by Nintendo rank 227
226,228,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,2002 Action by Electronic Arts rank 228
227,229,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2011 Racing by Microsoft Game Studios rank 229
228,230,Tomb Raider,PS,1996,Action,Eidos Interactive,1996 Action by Eidos Interactive rank 230
229,231,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,2007 Misc by Activision rank 231
230,232,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,1991 Action by Nintendo rank 232
231,233,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2002 Action by Nintendo rank 233
232,234,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,2009 Sports by Sega rank 234
233,235,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,2013 Action by Nintendo rank 235
234,236,Splatoon,WiiU,2015,Shooter,Nintendo,2015 Shooter by Nintendo rank 236
235,237,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,2014 Action by Sony Computer Entertainment rank 237
236,238,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,2007 Misc by Activision rank 238
237,239,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,2004 Sports by Electronic Arts rank 239
238,240,Pitfall!,2600,1981,Platform,Activision,1981 Platform by Activision rank 240
239,241,Madden NFL 07,PS2,2006,Sports,Electronic Arts,2006 Sports by Electronic Arts rank 241
240,242,Spider-Man: The Movie,PS2,2002,Action,Activision,2002 Action by Activision rank 242
241,243,Dragon Quest VII: Warriors of Eden,PS,2000,Role-Playing,Enix Corporation,2000 Role-Playing by Enix Corporation rank 243
242,244,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,2015 Action by Sony Computer Entertainment rank 244
243,245,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,2014 Shooter by Activision rank 245
244,246,God of War,PS2,2005,Action,Sony Computer Entertainment,2005 Action by Sony Computer Entertainment rank 246
245,247,Nintendo Land,WiiU,2012,Misc,Nintendo,2012 Misc by Nintendo rank 247
246,248,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2010 Misc by Ubisoft rank 248
247,249,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2001 Sports by Activision rank 249
248,250,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,2006 Sports by Konami Digital Entertainment rank 250
249,251,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2006 Role-Playing by Take-Two Interactive rank 251
250,252,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,1987 Adventure by Nintendo rank 252
251,253,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2005 Racing by Electronic Arts rank 253
252,254,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,2006 Shooter by Sony Computer Entertainment rank 254
253,255,Sonic the Hedgehog,GEN,1991,Platform,Sega,1991 Platform by Sega rank 255
254,256,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2005 Role-Playing by Square Enix rank 256
255,257,FIFA 14,X360,2013,Sports,Electronic Arts,2013 Sports by Electronic Arts rank 257
256,258,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2014 Shooter by Activision rank 258
257,259,Asteroids,2600,1980,Shooter,Atari,1980 Shooter by Atari rank 259
258,260,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2008 Role-Playing by Microsoft Game Studios rank 260
259,261,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2015 Shooter by Microsoft Game Studios rank 261
