,Rank,Name,Overview
71,72,Donkey Kong Country,1994 Platform by Nintendo rank 72
72,73,Minecraft,2013 Misc by Microsoft Game Studios rank 73
73,74,Animal Crossing: New Leaf,2012 Simulation by Nintendo rank 74
74,75,Mario Party DS,2007 Misc by Nintendo rank 75
75,76,The Elder Scrolls V: Skyrim,2011 Role-Playing by Bethesda Softworks rank 76
76,77,Super Mario Kart,1992 Racing by Nintendo rank 77
77,78,FIFA 16,2015 Sports by Electronic Arts rank 78
78,79,Wii Party,2010 Misc by Nintendo rank 79
79,80,Halo 2,2004 Shooter by Microsoft Game Studios rank 80
80,81,Mario Party 8,2007 Misc by Nintendo rank 81
81,82,Pokemon Black 2/Pokemon White 2,2012 Role-Playing by Nintendo rank 82
82,83,FIFA Soccer 13,2012 Action by Electronic Arts rank 83
83,84,The Sims 3,2009 Simulation by Electronic Arts rank 84
84,85,GoldenEye 007,1997 Shooter by Nintendo rank 85
85,86,Mario & Sonic at the Olympic Games,2007 Sports by Sega rank 86
86,87,Final Fantasy X,2001 Role-Playing by Sony Computer Entertainment rank 87
87,88,Final Fantasy VIII,1999 Role-Playing by SquareSoft rank 88
88,89,Pokémon Platinum Version,2008 Role-Playing by Nintendo rank 89
89,90,Pac-Man,1982 Puzzle by Atari rank 90
90,91,Grand Theft Auto: Liberty City Stories,2005 Action by Take-Two Interactive rank 91
91,92,Super Mario Galaxy 2,2010 Platform by Nintendo rank 92
92,93,Star Wars Battlefront (2015),2015 Shooter by Electronic Arts rank 93
93,94,Call of Duty: Advanced Warfare,2014 Shooter by Activision rank 94
94,95,The Legend of Zelda: Ocarina of Time,1998 Action by Nintendo rank 95
95,96,Crash Bandicoot 2: Cortex Strikes Back,1997 Platform by Sony Computer Entertainment rank 96
96,97,Super Mario Bros. 2,1988 Platform by Nintendo rank 97
97,98,Super Smash Bros. for Wii U and 3DS,2014 Fighting by Nintendo rank 98
98,99,Call of Duty: World at War,2008 Shooter by Activision rank 99
99,100,Battlefield 3,2011 Shooter by Electronic Arts rank 100
100,101,The Legend of Zelda: Twilight Princess,2006 Action by Nintendo rank 101
101,102,Call of Duty: Black Ops 3,2015 Shooter by Activision rank 102
102,103,Just Dance,2009 Misc by Ubisoft rank 103
103,104,Battlefield 3,2011 Shooter by Electronic Arts rank 104
104,105,Need for Speed Underground,2003 Racing by Electronic Arts rank 105
105,106,Tekken 3,1998 Fighting by Sony Computer Entertainment rank 106
106,107,Crash Bandicoot 3: Warped,1998 Platform by Sony Computer Entertainment rank 107
107,108,Super Smash Bros. Melee,2001 Fighting by Nintendo rank 108
108,109,Mario Kart 8,2014 Racing by Nintendo rank 109
109,110,Fallout 4,2015 Role-Playing by Bethesda Softworks rank 110
110,111,Mario Kart: Double Dash!!,2003 Racing by Nintendo rank 111
111,112,Just Dance 4,2012 Misc by Ubisoft rank 112
112,113,FIFA 14,2013 Sports by Electronic Arts rank 113
113,114,Need for Speed Underground 2,2004 Racing by Electronic Arts rank 114
114,115,Medal of Honor: Frontline,2002 Shooter by Electronic Arts rank 115
115,116,Uncharted 3: Drake's Deception,2011 Action by Sony Computer Entertainment rank 116
116,117,Crash Bandicoot,1996 Platform by Sony Computer Entertainment rank 117
117,118,Zumba Fitness,2010 Sports by 505 Games rank 118
118,119,Gears of War 2,2008 Shooter by Microsoft Game Studios rank 119
119,120,Uncharted 2: Among Thieves,2009 Action by Sony Computer Entertainment rank 120
120,121,Call of Duty 4: Modern Warfare,2007 Shooter by Activision rank 121
121,122,FIFA 12,2011 Sports by Electronic Arts rank 122
122,123,Big Brain Academy,2005 Misc by Nintendo rank 123
123,124,Red Dead Redemption,2010 Action by Take-Two Interactive rank 124
124,125,FIFA 15,2014 Sports by Electronic Arts rank 125
125,126,Donkey Kong Country Returns,2010 Platform by Nintendo rank 126
126,127,The Elder Scrolls V: Skyrim,2011 Role-Playing by Bethesda Softworks rank 127
127,128,The Legend of Zelda,1986 Action by Nintendo rank 128
128,129,Assassin's Creed III,2012 Action by Ubisoft rank 129
129,130,Halo: Combat Evolved,2001 Shooter by Microsoft Game Studios rank 130
130,131,Pokémon Emerald Version,2004 Role-Playing by Nintendo rank 131
131,132,Kingdom Hearts,2002 Role-Playing by Sony Computer Entertainment rank 132
132,133,Pokémon Crystal Version,2000 Role-Playing by Nintendo rank 133
133,134,Halo 3: ODST,2009 Shooter by Microsoft Game Studios rank 134
134,135,Red Dead Redemption,2010 Action by Take-Two Interactive rank 135
135,136,Super Mario Sunshine,2002 Platform by Nintendo rank 136
136,137,Street Fighter II: The World Warrior,1992 Fighting by Capcom rank 137
137,138,World of Warcraft,2004 Role-Playing by Activision rank 138
138,139,Driver,1999 Action by GT Interactive rank 139
139,140,Kinect Sports,2010 Sports by Microsoft Game Studios rank 140
140,141,Gears of War 3,2011 Shooter by Microsoft Game Studios rank 141
141,142,Gears of War,2006 Shooter by Microsoft Game Studios rank 142
142,143,Metal Gear Solid 2: Sons of Liberty,2001 Action by Konami Digital Entertainment rank 143
143,144,Sonic the Hedgehog 2,1992 Platform by Sega rank 144
144,145,Metal Gear Solid 4: Guns of the Patriots,2008 Action by Konami Digital Entertainment rank 145
145,146,Metal Gear Solid,1998 Action by Konami Digital Entertainment rank 146
146,147,The Last of Us,2013 Action by Sony Computer Entertainment Europe rank 147
147,148,Final Fantasy XII,2006 Role-Playing by Square Enix rank 148
148,149,LittleBigPlanet,2008 Platform by Sony Computer Entertainment rank 149
149,150,Dragon Quest IX: Sentinels of the Starry Skies,2009 Role-Playing by Nintendo rank 150
150,151,LEGO Star Wars: The Complete Saga,2007 Action by LucasArts rank 151
151,152,Resident Evil 2,1998 Action by Virgin Interactive rank 152
152,153,Tekken 2,1996 Fighting by Sony Computer Entertainment rank 153
153,154,Cooking Mama,2006 Simulation by 505 Games rank 154
154,155,Destiny,2014 Shooter by Activision rank 155
155,156,Tetris,1988 Puzzle by Nintendo rank 156
156,157,Assassin's Creed II,2009 Action by Ubisoft rank 157
157,158,Super Smash Bros.,1999 Fighting by Nintendo rank 158
158,159,Assassin's Creed,2007 Adventure by Ubisoft rank 159
159,160,Batman: Arkham City,2011 Action by Warner Bros. Interactive Entertainment rank 160
160,161,Forza Motorsport 3,2009 Racing by Microsoft Game Studios rank 161
161,162,Monster Hunter Freedom Unite,2008 Role-Playing by Capcom rank 162
162,163,Super Mario Advance,2001 Platform by Nintendo rank 163
163,164,Mario Kart: Super Circuit,2001 Racing by Nintendo rank 164
164,165,Super Mario World,2001 Platform by Nintendo rank 165
165,166,Pokemon Stadium,1999 Strategy by Nintendo rank 166
166,167,Call of Duty: World at War,2008 Shooter by Activision rank 167
167,168,Crash Bandicoot: The Wrath of Cortex,2001 Platform by Universal Interactive rank 168
168,169,Minecraft,2014 Misc by Sony Computer Entertainment rank 169
169,170,Final Fantasy XIII,2009 Role-Playing by Square Enix rank 170
170,171,Dr. Mario,1989 Puzzle by Nintendo rank 171
171,172,Pokemon Pinball,1999 Misc by Nintendo rank 172
172,173,Assassin's Creed III,2012 Action by Ubisoft rank 173
173,174,Final Fantasy IX,2000 Role-Playing by SquareSoft rank 174
174,175,Final Fantasy X-2,2003 Role-Playing by Electronic Arts rank 175
175,176,Donkey Kong 64,1999 Platform by Nintendo rank 176
176,177,Assassin's Creed II,2009 Action by Ubisoft rank 177
177,178,Professor Layton and the Curious Village,2007 Puzzle by Nintendo rank 178
178,179,Tomb Raider II,1997 Action by Eidos Interactive rank 179
179,181,Dragon Quest VIII: Journey of the Cursed King,2004 Role-Playing by Square Enix rank 181
180,182,Diablo III,2012 Role-Playing by Activision rank 182
181,183,Super Mario Bros. 3,2003 Platform by Nintendo rank 183
182,184,New Super Mario Bros. U,2012 Platform by Nintendo rank 184
183,185,Super Mario Land 3: Wario Land,1994 Platform by Nintendo rank 185
184,186,FIFA Soccer 13,2012 Action by Electronic Arts rank 186
185,187,The Legend of Zelda: Phantom Hourglass,2007 Action by Nintendo rank 187
186,188,Donkey Kong Country 2: Diddy's Kong Quest,1995 Platform by Nintendo rank 188
187,189,Tomodachi Life,2013 Simulation by Nintendo rank 189
188,190,Mario & Sonic at the Olympic Games,2008 Sports by Sega rank 190
189,191,Medal of Honor: Rising Sun,2003 Shooter by Electronic Arts rank 191
190,192,Kirby's Dream Land,1992 Platform by Nintendo rank 192
191,193,Fable III,2010 Role-Playing by Microsoft Game Studios rank 193
192,194,Call of Duty: Advanced Warfare,2014 Shooter by Activision rank 194
193,195,Microsoft Flight Simulator,1996 Simulation by Microsoft Game Studios rank 195
194,196,Guitar Hero II,2006 Misc by RedOctane rank 196
195,197,Resident Evil 5,2009 Action by Capcom rank 197
196,198,Grand Theft Auto V,2014 Action by Take-Two Interactive rank 198
197,199,Grand Theft Auto: Vice City Stories,2006 Action by Take-Two Interactive rank 199
198,200,FIFA Soccer 11,2010 Sports by Electronic Arts rank 200
199,201,Super Mario Bros.,1999 Platform by Nintendo rank 201
200,202,Resident Evil,1996 Action by Virgin Interactive rank 202
201,203,Tony Hawk's Pro Skater,1999 Sports by Activision rank 203
202,204,Super Smash Bros. for Wii U and 3DS,2014 Fighting by Nintendo rank 204
203,205,Warzone 2100,1999 Strategy by Eidos Interactive rank 205
204,206,Spyro the Dragon,1998 Platform by Sony Computer Entertainment rank 206
205,207,Link's Crossbow Training,2007 Shooter by Nintendo rank 207
206,208,Guitar Hero III: Legends of Rock,2007 Misc by Activision rank 208
207,209,Fallout 3,2008 Role-Playing by Bethesda Softworks rank 209
208,210,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,2007 Role-Playing by Nintendo rank 210
209,211,Uncharted: Drake's Fortune,2007 Action by Sony Computer Entertainment rank 211
210,212,Madden NFL 06,2005 Sports by Electronic Arts rank 212
211,213,LEGO Star Wars: The Complete Saga,2007 Action by LucasArts rank 213
212,214,Diddy Kong Racing,1997 Racing by Nintendo rank 214
213,215,Monster Hunter Freedom 3,2010 Role-Playing by Capcom rank 215
214,216,Dr. Mario,1990 Puzzle by Nintendo rank 216
215,217,God of War III,2010 Action by Sony Computer Entertainment rank 217
216,218,StarCraft II: Wings of Liberty,2010 Strategy by Activision rank 218
217,219,Assassin's Creed,2007 Adventure by Ubisoft rank 219
218,220,FIFA 15,2014 Sports by Electronic Arts rank 220
219,221,Crash Team Racing,1999 Racing by Sony Computer Entertainment rank 221
220,222,FIFA 17,2016 Sports by Electronic Arts rank 222
221,223,Batman: Arkham City,2011 Action by Warner Bros. Interactive Entertainment rank 223
222,224,Driver 2,2000 Action by Atari rank 224
223,225,The Simpsons: Hit & Run,2003 Racing by Vivendi Games rank 225
224,226,Tony Hawk's Pro Skater 2,2000 Sports by Activision rank 226
225,227,Animal Crossing: City Folk,2008 Simulation by Nintendo rank 227
226,228,The Lord of the Rings: The Two Towers,2002 Action by Electronic Arts rank 228
227,229,Forza Motorsport 4,2011 Racing by Microsoft Game Studios rank 229
228,230,Tomb Raider,1996 Action by Eidos Interactive rank 230
229,231,Guitar Hero III: Legends of Rock,2007 Misc by Activision rank 231
230,232,The Legend of Zelda: A Link to the Past,1991 Action by Nintendo rank 232
231,233,The Legend of Zelda: The Wind Waker,2002 Action by Nintendo rank 233
232,234,Mario & Sonic at the Olympic Winter Games,2009 Sports by Sega rank 234
233,235,Luigi's Mansion: Dark Moon,2013 Action by Nintendo rank 235
234,236,Splatoon,2015 Shooter by Nintendo rank 236
235,237,The Last of Us,2014 Action by Sony Computer Entertainment rank 237
236,238,Guitar Hero III: Legends of Rock,2007 Misc by Activision rank 238
237,239,Madden NFL 2005,2004 Sports by Electronic Arts rank 239
238,240,Pitfall!,1981 Platform by Activision rank 240
239,241,Madden NFL 07,2006 Sports by Electronic Arts rank 241
240,242,Spider-Man: The Movie,2002 Action by Activision rank 242
241,243,Dragon Quest VII: Warriors of Eden,2000 Role-Playing by Enix Corporation rank 243
242,244,Uncharted: The Nathan Drake Collection,2015 Action by Sony Computer Entertainment rank 244
243,245,Call of Duty: Advanced Warfare,2014 Shooter by Activision rank 245
244,246,God of War,2005 Action by Sony Computer Entertainment rank 246
245,247,Nintendo Land,2012 Misc by Nintendo rank 247
246,248,Michael Jackson: The Experience,2010 Misc by Ubisoft rank 248
247,249,Tony Hawk's Pro Skater 3,2001 Sports by Activision rank 249
248,250,Winning Eleven: Pro Evolution Soccer 2007,2006 Sports by Konami Digital Entertainment rank 250
249,251,The Elder Scrolls IV: Oblivion,2006 Role-Playing by Take-Two Interactive rank 251
250,252,Zelda II: The Adventure of Link,1987 Adventure by Nintendo rank 252
251,253,Need for Speed: Most Wanted,2005 Racing by Electronic Arts rank 253
252,254,Resistance: Fall of Man,2006 Shooter by Sony Computer Entertainment rank 254
253,255,Sonic the Hedgehog,1991 Platform by Sega rank 255
254,256,Kingdom Hearts II,2005 Role-Playing by Square Enix rank 256
255,257,FIFA 14,2013 Sports by Electronic Arts rank 257
256,258,Call of Duty: Advanced Warfare,2014 Shooter by Activision rank 258
257,259,Asteroids,1980 Shooter by Atari rank 259
258,260,Fable II,2008 Role-Playing by Microsoft Game Studios rank 260
259,261,Halo 5: Guardians,2015 Shooter by Microsoft Game Studios rank 261
260,262,Super Mario 3D World,2013 Platform by Nintendo rank 262
261,263,Batman: Arkham Asylum,2009 Action by Eidos Interactive rank 263
262,264,Assassin's Creed: Revelations,2011 Action by Ubisoft rank 264
263,265,Namco Museum,2001 Misc by Namco Bandai Games rank 265
264,266,Metal Gear Solid 3: Snake Eater,2004 Action by Konami Digital Entertainment rank 266
265,267,Daxter,2006 Platform by Sony Computer Entertainment rank 267
266,268,Warcraft II: Tides of Darkness,1995 Strategy by Activision rank 268
267,269,The Legend of Zelda: Ocarina of Time,2011 Action by Nintendo rank 269
268,270,FIFA Soccer 06,2005 Sports by Electronic Arts rank 270
269,271,EyeToy Play,2003 Misc by Sony Computer Entertainment rank 271
270,272,Uncharted 4: A Thief's End,2016 Shooter by Sony Computer Entertainment rank 272
271,273,Gran Turismo 5 Prologue,2007 Racing by Sony Computer Entertainment rank 273
272,274,Assassin's Creed: Revelations,2011 Action by Ubisoft rank 274
273,275,Street Fighter IV,2009 Fighting by Capcom rank 275
274,276,FIFA 12,2011 Sports by Electronic Arts rank 276
275,277,Teenage Mutant Ninja Turtles,1989 Action by Palcom rank 277
276,278,Excitebike,1984 Racing by Nintendo rank 278
277,279,Frogger,1997 Action by Hasbro Interactive rank 279
278,280,Madden NFL 2003,2002 Sports by Electronic Arts rank 280
279,281,Watch Dogs,2014 Action by Ubisoft rank 281
280,282,Half-Life,1997 Shooter by Vivendi Games rank 282
281,283,Super Mario World 2: Yoshi's Island,1995 Platform by Nintendo rank 283
282,284,FIFA Soccer 07,2006 Sports by Electronic Arts rank 284
283,285,The Legend of Zelda: Skyward Sword,2011 Action by Nintendo rank 285
284,286,Street Fighter II Turbo,1992 Fighting by Capcom rank 286
285,287,Carnival Games,2007 Misc by Take-Two Interactive rank 287
286,288,Fallout 4,2015 Role-Playing by Bethesda Softworks rank 288
287,289,World of Warcraft: The Burning Crusade,2007 Role-Playing by Activision rank 289
288,290,Fallout: New Vegas,2010 Role-Playing by Bethesda Softworks rank 290
289,291,God of War II,2007 Action by Sony Computer Entertainment rank 291
290,292,Forza Motorsport 2,2007 Racing by Microsoft Game Studios rank 292
291,293,World Soccer Winning Eleven 9,2005 Sports by Konami Digital Entertainment rank 293
292,294,Namco Museum Vol.3,1996 Misc by Sony Computer Entertainment rank 294
293,295,Tekken Tag Tournament,2000 Fighting by Namco Bandai Games rank 295
294,296,Far Cry 4,2014 Shooter by Ubisoft rank 296
295,297,Star Fox 64,1997 Shooter by Nintendo rank 297
296,298,Minecraft,2014 Misc by Sony Computer Entertainment Europe rank 298
297,299,Golf,1984 Sports by Nintendo rank 299
298,300,Fallout 3,2008 Role-Playing by Bethesda Softworks rank 300
299,301,Professor Layton and the Diabolical Box,2007 Puzzle by Nintendo rank 301
300,302,Left 4 Dead 2,2009 Shooter by Electronic Arts rank 302
301,303,Namco Museum: 50th Anniversary,2005 Misc by Namco Bandai Games rank 303
302,304,EA Sports Active,2009 Sports by Electronic Arts rank 304
303,305,Assassin's Creed: Unity,2014 Action by Ubisoft rank 305
304,306,Donkey Kong Land,1994 Platform by Nintendo rank 306
305,307,Tony Hawk's Underground,2003 Sports by Activision rank 307
306,308,Assassin's Creed IV: Black Flag,2013 Action by Ubisoft rank 308
307,309,Monster Hunter 4 Ultimate,2014 Role-Playing by Nintendo rank 309
308,310,MotorStorm,2006 Racing by Sony Computer Entertainment rank 310
309,311,The Elder Scrolls V: Skyrim,2011 Role-Playing by Bethesda Softworks rank 311
310,312,Tekken 5,2005 Fighting by Namco Bandai Games rank 312
311,313,Dragon Warrior III,1988 Role-Playing by Enix Corporation rank 313
312,314,Sports Champions,2010 Sports by Sony Computer Entertainment rank 314
313,315,NBA 2K16,2015 Sports by Take-Two Interactive rank 315
314,316,World Soccer Winning Eleven 8 International,2004 Sports by Konami Digital Entertainment rank 316
315,317,Flash Focus: Vision Training in Minutes a Day,2007 Misc by Nintendo rank 317
316,318,Namco Museum Vol.1,1995 Misc by Sony Computer Entertainment rank 318
317,319,The Legend of Zelda: Link's Awakening,1992 Action by Nintendo rank 319
318,320,Mario & Luigi: Bowser's Inside Story,2009 Role-Playing by Nintendo rank 320
319,321,Big Brain Academy: Wii Degree,2007 Misc by Nintendo rank 321
320,322,Nintendogs + cats,2011 Simulation by Nintendo rank 322
321,323,Batman: Arkham Knight,2015 Action by Warner Bros. Interactive Entertainment rank 323
322,324,Mario & Sonic at the London 2012 Olympic Games,2011 Sports by Sega rank 324
323,325,LEGO Indiana Jones: The Original Adventures,2008 Action by Activision rank 325
324,326,Resident Evil Director's Cut,1996 Action by Virgin Interactive rank 326
325,327,Ratchet & Clank: Size Matters,2007 Platform by Sony Computer Entertainment rank 327
326,328,Just Dance 2014,2013 Misc by Ubisoft rank 328
327,329,The Sims: Unleashed,2002 Simulation by Electronic Arts rank 329
328,330,Super Paper Mario,2007 Platform by Nintendo rank 330
329,331,Harry Potter and the Sorcerer's Stone,2001 Action by Electronic Arts rank 331
330,332,The Witcher 3: Wild Hunt,2015 Role-Playing by Namco Bandai Games rank 332
331,333,Resident Evil 3: Nemesis,1999 Action by Eidos Interactive rank 333
332,334,Spyro: Year of the Dragon,2000 Platform by Sony Computer Entertainment rank 334
333,335,FIFA Soccer 2005,2004 Sports by Electronic Arts rank 335
334,336,Pokémon Trading Card Game,1998 Strategy by Nintendo rank 336
335,337,Battlefield 4,2013 Shooter by Electronic Arts rank 337
336,338,MySims,2007 Simulation by Electronic Arts rank 338
337,339,Friend Collection,2009 Misc by Nintendo rank 339
338,340,Tony Hawk's Pro Skater 4,2002 Sports by Activision rank 340
339,341,Midnight Club 3: DUB Edition,2005 Racing by Take-Two Interactive rank 341
340,342,Banjo-Kazooie,1998 Platform by Nintendo rank 342
341,343,SOCOM: U.S. Navy SEALs,2002 Shooter by Sony Computer Entertainment rank 343
342,344,Guitar Hero: World Tour,2008 Misc by Activision rank 344
343,345,Gran Turismo 6,2013 Racing by Sony Computer Entertainment rank 345
344,346,Jak and Daxter: The Precursor Legacy,2001 Platform by Sony Computer Entertainment rank 346
345,347,Pokemon Snap,1999 Simulation by Nintendo rank 347
346,348,FIFA Soccer 10,2009 Sports by Electronic Arts rank 348
347,349,Pro Evolution Soccer 2008,2007 Sports by Konami Digital Entertainment rank 349
348,350,Call of Duty: Ghosts,2013 Shooter by Activision rank 350
349,351,Resident Evil 4,2005 Action by Capcom rank 351
350,352,Tom Clancy's The Division,2016 Shooter by Ubisoft rank 352
351,353,Star Wars: Battlefront,2004 Shooter by LucasArts rank 353
352,354,Doom II: Hell on Earth,1994 Shooter by Virgin Interactive rank 354
353,355,The Simpsons: Road Rage,2001 Racing by Electronic Arts rank 355
354,356,Cooking Mama 2: Dinner With Friends,2007 Simulation by 505 Games rank 356
355,357,Luigi's Mansion,2001 Action by Nintendo rank 357
356,358,Star Wars: Battlefront II,2005 Shooter by LucasArts rank 358
357,359,WWF SmackDown!,2000 Fighting by THQ rank 359
358,360,Croc: Legend of the Gobbos,1997 Platform by Fox Interactive rank 360
359,361,Grand Theft Auto: Liberty City Stories,2006 Action by Take-Two Interactive rank 361
360,362,The Getaway,2002 Action by Sony Computer Entertainment rank 362
361,363,Tomb Raider III: Adventures of Lara Croft,1997 Action by Eidos Interactive rank 363
362,364,James Bond 007: Agent Under Fire,2001 Shooter by Electronic Arts rank 364
363,365,LEGO Star Wars: The Video Game,2005 Action by Eidos Interactive rank 365
364,366,Battlefield 4,2013 Shooter by Electronic Arts rank 366
365,367,FIFA Soccer 11,2010 Sports by Electronic Arts rank 367
366,368,Rugrats in Paris: The Movie,2000 Action by THQ rank 368
367,369,Spyro 2: Ripto's Rage!,1999 Platform by Sony Computer Entertainment rank 369
368,370,Left 4 Dead,2008 Shooter by Electronic Arts rank 370
369,371,Mario & Sonic at the Olympic Winter Games,2009 Sports by Sega rank 371
370,372,Resident Evil 5,2009 Action by Capcom rank 372
371,373,Donkey Kong Country 3: Dixie Kong's Double Trouble!,1996 Platform by Nintendo rank 373
372,374,Assassin's Creed: Brotherhood,2010 Action by Ubisoft rank 374
373,375,Kung Fu,1985 Action by Nintendo rank 375
374,376,Batman: Arkham Asylum,2009 Action by Eidos Interactive rank 376
375,377,Clubhouse Games,2006 Misc by Nintendo rank 377
376,379,Star Wars Battlefront (2015),2015 Shooter by Electronic Arts rank 379
377,380,Battlefield: Bad Company 2,2010 Shooter by Electronic Arts rank 380
378,381,Guitar Hero: On Tour,2008 Misc by Activision rank 381
379,382,Assassin's Creed: Unity,2014 Action by Ubisoft rank 382
380,383,Far Cry 3,2012 Shooter by Ubisoft rank 383
381,384,Monster Hunter 4,2013 Role-Playing by Capcom rank 384
382,385,Borderlands,2009 Shooter by Take-Two Interactive rank 385
383,386,Tekken 4,2002 Fighting by Namco Bandai Games rank 386
384,387,Battlefield 4,2013 Shooter by Electronic Arts rank 387
385,388,LittleBigPlanet 2,2011 Platform by Sony Computer Entertainment rank 388
386,389,Grand Theft Auto 2,1998 Action by Take-Two Interactive rank 389
387,390,Final Fantasy III,1994 Role-Playing by SquareSoft rank 390
388,391,Spider-Man 2,2004 Action by Activision rank 391
389,392,F-1 Race,1990 Racing by Nintendo rank 392
390,393,FIFA Soccer 2003,2002 Sports by Electronic Arts rank 393
391,394,Crash Bash,2000 Misc by Sony Computer Entertainment rank 394
392,395,LEGO Batman: The Videogame,2008 Action by Warner Bros. Interactive Entertainment rank 395
393,396,Metal Gear Solid V: The Phantom Pain,2015 Action by Konami Digital Entertainment rank 396
394,397,The Legend of Zelda: Spirit Tracks,2009 Action by Nintendo rank 397
395,398,WWF War Zone,1998 Fighting by Acclaim Entertainment rank 398
